autor,titlu,text
Marin Sorescu,Cât steiul,"Coadă al lui Ceapă a luat într-o zi la păscut vacile unchieșului
Ion Stanciu (care-i era unchi). Asta se cam ținea de
Drăcii, Coadă ăsta. Se ținea de zgoande. Le-a prins pe câmp,
Le-a legat și le-a ascuțit coarnele cu briciul.
Seara le-a adus acasă, cu coarnele ca andrelele.
I le bagă în curte.
-    Ți-adusei vacile, unchiule. (N-a spus că sunt ciungărâte.)
-    Bine, mă, îți mulțumesc, da' nu mai vii și tu încoa'
Să-ți dau un ou?
-    Nu mai viu, că mă strigă mama.
Abia când a văzut ăl unchiaș coarnele vacilor așa:
„Fir-ai al iacacui de hoț, ce-mi făcuși tu mie!""
Da' ăla se dusese, fugise. Acum vacile împungeau toate elea prin curte.
Găini, rațe, oi,
A ținut muierea de vaci și le-a retezat el coarnele
Cu fierăstrăul.
Au mai stat vreo două zile, l-a chemat cu vacile.
Copilul lui Ceapă era curios că nu-i zice
Unchi-su nimic. Vede coarnele tăiate și tace și el. „Ei, a uitat.""
Și moșul se oprește lângă o crăpătură:
-    Mă, Costiță, vino-ncoace că intră un cârstei
In gaura asta.
Bagă mâna tu, să-l iei. Uite-aici, bagă repede mâna!
Și-i arată locul cu un furcel, pe care-l
Avea în mână, în loc de ciomag.
Copilul repede, să prindă cârsteiul.
Se apleacă, se uită-n gaură și moșul haț! cu furcelul
I-l proptește după gât și-l prinde cu gura-n pământ.
Și-l judecă:
-    E, fir-ai iacacui, ce-ai avut cu vacile mele?
-    Că nu io, că nu știu cine le-a prins în pădure...
(Cine să le prindă? Draci!)
S-a smucit și-a scăpat, dar l-a trecut o țâră nădușala
Când s-a văzut el prins de gât cu furcelul,
Ca în jug și băgat cu nasul în crăpătură.
Ș-i era frică să nu sară și cârsteiul să-l muște de nas.

A zis și Stanciu că s-a răzbunat.
Da' copilul vine odată pe la el,
ÎI strigă și când se apropie moșul, sparie un porc care
Era în prispă, fuge porcul și-l ia pe moș călare.
-	Iu, fir-ar iacacui, te țâi de câra mea,
Să mă omori.
Și i-a mai făcut Costică al lui Coadă al lui Ceapă una:
Moșul creștea rațe.
Și băiatul vine c-o undiță și pune boabe de porumb în ea.
Balta era di la deal de casă. Și aruncă undița în apă.
Sta liniștit pe mal. Rața se repezea la bob
Și el doar o trăgea...
Așa i-a pescuit vreo cinci-șase,
Nu să le mănânce, unele mai scăpau vii,
Așa, de plăcerea necazului moșului.
-	Bine, mă, de-aia mă canonesc eu cu ele,
Le toc vrej și le mestec și cu câte-o troacă de nisip,
Ca să le țâie de foame, ca să mi le tragi tu din baltă
Cu bobul? Jap! cu ciomagul după el.
Dar ăla, sprinten, Era departe. Așa era
Coadă al lui Ceapă când era mic
Numai năsărâmbe făcea, mai ales cu unchi-su Stanciu."
Marin Sorescu,Cate ganduri,"Câte gânduri îmi trec prin cap
Le las să-mi treacă.
Este plăcerea lor
Să se stârnească din senin,
Ca norii,
Și să se destrame la întâmplare,
La marginea orizontului.

Unele revin,
Cuprinse parcă de-o remușcare:
Au uitat să se atingă de cuvinte!
Cuvintele le îmbrățișează,
Le cuprind în potir de flori carnivore.

Și eu mă pomenesc punând pe note
Plânsul gândurilor fără ieșire."
Marin Sorescu,Câte puțin,"M-am inspirat
Din toate izvoarele care s-au pierdut
Încă înainte de nașterea mea.

Pot da o listă lungă
De gânduri care, venind pe sub pământ,
S-au înfipt în porii sufletului meu
Ca sulițele într-o panoplie.

Din niște opere în limba tracă,
Ale primului poet exilat la noi,
Din scrisorile dând știre de năvălirea turcilor,
Din viețile sfinților care au pregetat
Să mai ajungă până acum.

Apoi din mâinile care le-au transcris
Și s-au pierdut,
Din ochii care le-au citit
Și s-au pierdut,
Din ecourile pe care le-au stârnit
Și s-au pierdut.

Din toate câte puțin,
Puțin din viața ta,
Puțin din moartea mea,
Ca nimeni să nu mai poată controla.

O, acela
Care se va inspira din mine,
După ce toate aceste cuvinte
Pe care le înalț acum cu sufletul meu
Se vor întoarce acasă
În uitarea primordială!"
Marin Sorescu,Caut portretul lui hegel,"Eu n-am văzut niciodată
Portretul lui Hegel,
Mi-a lipsit momentan
De pe toate cărțile.

Am auzit însă că există
La un anticariat.
Nu prea departe de-aici,
O fotografie de-a lui, înfățișându-l
În clipa când trece
Peste toate sistemele filozofice,
Ca viermele de mătase
Pe frunzele de dud.

Trebuie să fie ceva neobișnuit și frumos,
Electric.
Ceva ca omul.

Într-o zi o să-mi fac timp.
Mă voi repezi până-acolo
Și, rugând toate cuvintele
Să mă lase singur cu Hegel,
Îl voi privi tăcut
Câteva minute."
Marin Sorescu,Ce mă doare cel mai tare,"Ce mă doare cel mai tare
E că nu voi mai putea fi
În contact cu cărțile,
Să stau dimineața în fața bibliotecii
Ca la țărmul mării
Mângâiat de briza tainică adiind
De pe rafturi.

Dacă tot voi fi atât de aproape de ele,
Sper să nu mi se refuze, Doamne,
Plăcerea de a citi în stele
Măcar o dată pe săptămână
După orarul afișat pe un nor."
Marin Sorescu,Ce-ar fi?,"Ce-ar fi de-am mai greși oleacă,
Noi cei disciplinați, modești,
Cu fruntea veșnic ce se freacă
Doar de zăbrele la ferești?

Să scoatem sabia din teacă,
Eu să lovesc, tu să lovești,
Un fapt grozav să se petreacă:
Să simt că sunt, să simți că ești.

Cuminți în bănci și rași în cap
Ne strecurăm mereu tiptil
Să nu jignim vreun casap,

În timp ce sufletul, fitil,
Arde mocnit, de la un cap,
Și explodează inutil."
Marin Sorescu,Cine,"Să cercetăm bine
Cine se ascunde sub noi
Să fim foarte atenți
Pe cine numim
Eu.

Că nu mai poți
Avea încredere oarbă
În nimeni.
Să fim atenți, mai ales,
Pe cine numim
Eu.

Îndesati cu genunchiul
Sub niște măști,
Atât de convenționale,
Râsul, plănsul, iubirea,
Ne căznim, stângaci,
Să fim familiari cu noi

Poate chiar reușim
În unele momente,
Dar ne speriem grozav
Când ne auzim glasul."
Marin Sorescu,Ciocea,"Ciocea secera singur pe la Bocșă.
Trei pogoane de loc de grui,
Ce să facă el singur în trei pogoane?
-    Cumnate, da' cumnata nu vine?
-    Fir-ar a dă! că nu vrea să vie.
Mai dau și eu, după aia mai pun oameni, după
Ce-or mai termina și ei.
Plecam eu acasă, povestește mama,
Mă duceam pe la Manda
Și-o vedeam pe muierea lui Ciocea la poartă,
Punea fluturi pe-o cămașă.
-    Cumnată, cumnatul singur pe-acolo, nu te duci
Să-i ajuți?
-    Ba! Are copii.
Să-și muncească, să le dea de mâncare.
Și-ncepea să ocăre:
Lovi-l-ar plezneala,
Găsi-l-ar ăl din baltă,
Găsi-l-aș țapăn
Până deseară, lua-l-ar boala,
Umple-l-ar jipul!
Că eu n-am venit cu copii la el.
Înțelege-te cu ea.
Ei, copiii erau ai lor, ai cui să fie!

Ea și-a vândut șase pogoane de pământ al ei
și-a luat căruță cu cai.
Se plimba pe la bâlciuri și numai fluturi punea pe ea,
Cine mai era ca ea?

Și-ntr-o luni după Paști s-a certat Ciocea cu Măria.
I-a scos lada cu țoale în curte și le-a dat foc.
Au ars toate. Avea palton bun de carachior, cămăși, fuste.
Și-au ars toate, nu se putea apropia nimeni, că se lua cu
Securea după el.
-    Iuu, cămășile mele, lucrurile mele de la tata,
Să mi le ardă el.
Ea - îi tăia gura în fier și-n oțel, nu mai tăcea. Da să se
Apropie, el amenința cu securea.
-    Păi, dacă te-ai făcut a dă! Să vezi tu cum îți litrosesc tot.
Și ea a rămas goală. Și-a plecat la Mitroacă, la deal,
Vezi că ți-a dat fiștireaua? i-au zis și ei,
Nu-ți spuneam noi? Așa, gura bate fundul,
Te-a luat ăla la rapangele.
Ciocea mai ținuse una înainte,
Pe Păuna lui Predu, și aia frumoasă.
Și s-a dus Ciocea la Păuna, fosta lui nevastă,
Și-a luat-o:
-	Hai acasă, că n-am muiere. A plecat, fir-ar a dă, hai tu.
Și-a venit aia. Și când a auzit Măria,
Repede cu valea, a doua zi venea cu valea,
Venea c-o falcă-n cer și cu una-n pământ.
Că ea era mare, și fustele mari, parcă mergea cu valea toată.
S-au încăierat până seara
Și seara a răzbit asta și-a plecat ailaltă.

Treaba voastră, zicea Ciocea, să-mi rămână una acasă,
Să nu-mi stea curtea pustie
Și să aibă cine îngriji de copii.
Măria era muma copiilor, a biruit dragostea de mamă."
Marin Sorescu,Cocor rătăcit în mobilă,"Privindu-te cum coși
Chiar și eu mă simt liniștit.
Parcă mă coși cu ață albă,
De un nor, pe care se poate pluti în vale,
Când mai sus, când mai jos
Și să te uiți de-acolo de sus, sau mai de jos,
În sânul naturii.

Uite cum se întoarce poezia la sursă.
Toată noaptea m-a durut capul
Și de aceea îți pocnea ție mobila.
De la capul meu mobilat cu ideile tale.
O stare gripală circulă prin muzica asta,
Prin song-urile astea.
Cum ajungem unul în fața altuia
Fug microbii ca spiridușii când cântă cocoșul
(În casa asta cânt eu)
Și tu zâmbești și mă pierd în albul
Zâmbetului tău, ca un cocor rătăcit de bunăvoie
Pe când cârdul se duce învârtindu-se spre țările calde
Și el o lasă mai moale
Toamna asta cu plecatul în țările calde.

Acum să vedem ce-o fi la
Iarnă, ce-o păți. Ai căldură suficientă?
Cam câtă cantitate de alb e într-un zâmbet?
Putem vărui lumea
Cu visul, râsul nostru
Și cocorii să plece tot mai repede, crezând c-a nins noian, troian
Toți afară de unul,
Care știe el de ce mai rămâne."
Marin Sorescu,Cocori,"De ce închid, de ce deschid,
pe-ntinsa cerului câmpie,
un unghi mai vechi ca Euclid,
mai vechi ca-ntreaga geometrie?

Cocori, cu zboru-nfipt în frig,
cutremurat din temelie,
vă țin pe palma-ntinsă, strig:
sunt iarăși stâlp de veșnicie.

Și simt și dâra de căldură
ce-o lasă fierul lor de plug.
Brăzdând al cerului meu crug.

Din nou mă simt o arătură
brăzdată de cocori prin spații,
și-un zbor, mimat de germinații."
Marin Sorescu,Comoditate,"Mă bătea prea tare soarele,
Și te-am pus în geam
Ca pe-o hârtie albastră.

Mă bătea prea tare gândul,
Și te-am pus
În dreptul frunții
Ca pe-o icoană
Făcătoare de minuni.

Mă bătea prea tare moartea,
Și te-am pus în dreptul inimii,
Ca pe-un paravan
De dragoste.

Acum, că pleci,
Mă vor disputa cu o furie înzecită
Soarele, gândul,
Și moartea.

Ca pe Homer
Cele șapte cetăți."
Marin Sorescu,Compunere,"Viața începe cu tîrîtoarele -
Amoeba, melcii, păianjenii,
Apa cu fiecare val,
Drumurile flămânde de spații,
Rădăcinile când le e foame.

Până și mineralele
Se mănâncă între ele,
Diamantul are burta plină
De toate celelalte.

Tot ce vedem vertical:
Diferite forme
De dansuri nupțiale
Care ajung sublimul la plopi,
Grotescul la munți,
Curcubeul la șerpi.

Noaptea bate în lună
Toaca pentru înmulțire,
Până și semințele au călduri.
Cel mai desfrânat e copilul
Care își suge degetele.
Își este și fidel:
Știe să se descrie cu exactitate
De fiecare dată.

Peștii, păsările, animalele cu mari speranțe
(Printre care și omul)
Își depun ouăle direct în nisip,
În nisipul cald,
Pe care-l uită imediat după sărut.

După cum vedeți,
Totul este perfect,
Rotund ca o sferă
În interiorul căreia nu găsești
Nici un colț, nicio linie frîntă
De care să te spînzuri."
Marin Sorescu,Concurs,"Într-o încăpere ca toate celelalte,
Amenajată cu plafon zdravăn,
Ne întrecem la sărituri în înăltime.

Știm precis
Că nu poate sări nimeni
Mai sus decât tavanul,
Să fie și Dumnezeu,
Asta din cauza gravitației
Care ne trage mereu în jos,
Încă din cele mai vechi timpuri.

Dar continuăm
Cu o îndârjire diavolească,
Pentru că nu putem sta altfel,
Când avem în noi genial înălțimii,
Ca peștii zburători
Dorul aripilor adevărate.
Zi și noapte continuăm
În plafonul nostru scund.

Cel mai sprinten,
Care are mușchii cei mai oțeliți, mai dresați
Și stăpânește cel mai bine
Legile avântului
Ia și cele mai multe pocnituri în cap."
Marin Sorescu,Contabilitate,"Vine o vreme
Când trebuie să tragem sub noi
O linie neagră
Și să facem socoteală.

Câteva momente când era să fim fericiți,
Câteva momente când era să fim frumoși,
Câteva momente când era să fim geniali.
Ne-am întâlnit de câteva ori
Cu niște munți, cu niște copaci, cu niște ape
(Pe unde-or mai fi? Mai trăiesc?),
Toate acestea fac un viitor luminos -
Pe care l-am trăit.

O femeie pe care am iubit-o
Și cu aceeași femeie care nu ne-a iubit
Fac zero.
Un sfert de ani de studii
Fac mai multe miliarde de cuvinte furajere
A căror înțelepciune am eliminat-o treptat.

Și, în sfârșit, o soartă
Și cu încă o soartă (de unde-o mai fi ieșit?)
Fac două (Scriem una și ținem una.
Poate, cine știe, există și viață de apoi)."
Marin Sorescu,Copacul,"În ploaie, rezemat de un copac.
El are legătură cu pământul.
Și simt sub coajă-i, palma bătucita,
Cum freamătă, cu ceru-n el, Cuvântul.

Din când în când trăznește mânios
Și se răzbună norii în furtună.
Un fulger de-o veni, rătăcitor,
Deodată amândoi l-om frânge-n mâna.

Cuprins de lașitate, fug pe câmp
Și picurii mă-ndoaie de mijloc.
El își asumă riscul verticalei,
Dispus în orice clipă să-și dea foc.

Singurătatea asta care fuge...
Singurătatea lui înfiptă-n lut...
Mă-ntorc plângând și îl cuprind în brațe.
Furtuna grea ne ține de urât."
Marin Sorescu,Ctitorie,"Așa cum stai,
Dreaptă,
Cu brațele moi
Pe pântecul plin,
Pari o veche soție de voievod
Ținându-și ctitoria.

Și parcă-aud un glas
Venind de dincolo
De dispariția materiei:

""Noi, Ion și Ioana,
Cu puterile noastre
Am durat acest sfânt
Copil,
Întru veșnica pomenire
A acestui soare
Și-a acestui pământ""."
Marin Sorescu,Cu o singură viață,"Țineți cu amândouă mâinile
Tava fiecărei zile
Și treceți pe rând
Prin fața acestui ghișeu.

Este destul soare
Pentru toată lumea,
Este destul cer.

Din pământ ies mirosuri
De noroc, de fericire, de glorie
Care vă gîdilă îmbietor
Nările.

Așa că nu vă zgîrciți,
Trăiți după pofta inimii,
Prețurile sînt derizorii.

De pildă, cu o singură viață
Vă puteți procura
Cea mai frumoasă femeie
Plus o chiflă."
Marin Sorescu,Cu spatele,"Ceasul s-a-ntors cu spatele la timp.
Era bolnav ceasul și, simțindu-și sfârșitul,
Poate că s-a gândit și el
La un rai al obiectelor care mor,
Unde ceasurile se potrivesc singure
După inima lui Dumnezeu
Și deșteptătoarele sună și ziua și noaptea
Învierea stelelor.

A văzut însă cu limba cea mare
Că e absurd
Și a murit simplu, de tot,
Întorcându-se cu spatele la timp.

Iar eu, sufletul răposatului,
Voi mai rămâne în preajma lui
Trei zile,
Să văd cum continuă să-i crească
Părul și unghiile.
După care voi pleca și eu."
Marin Sorescu,Cumințenia muntelui,"Spre gol alpin își duc domol
turme de oi străvechiul port.
Sunt scorobeți pe Sohodol,
sunt scorobeți și pe Gilort.

În soare, râul muscărește,
sclipind pe pietre solzii reci;
moșdreanu-ar prinde și el pește,
iar tisa magică-n poteci.

Te înfășoară cu-o hlamidă
pe murmur vânăt, de Parâng;
ca faraonu-n piramidă,
întâi se zbate ochiul stâng.

Și hieroglifele-ți din sânge
deodată le pricepi, mirat
și, fericită, bolta plânge
ca o gravidă: „A mișcat!"""
Marin Sorescu,Dacă nu cer prea mult,"- Ce-ai lua cu tine,
Dacă s-ar pune problema
Să faci zilnic naveta între rai și iad,
Ca să ții niște cursuri?
- O carte, o sticlă cu vin și-o femeie, Doamne,
Dacă nu-ți cer prea mult.
- Ceri prea mult, îți tăiem femeia,
Te-ar ține de vorbă,
Ți-ar împuia capul cu fleacuri
Și n-ai avea timp să-ți pregătești cursul.
- Te implor, taie-mi cartea,
O scriu eu, Doamne, dacă am lângă mine
O sticlă de vin și-o femeie.
Asta aș dori, dacă nu cer prea mult.
- Ceri prea mult.
Ce-ai dori să iei cu tine,
Dacă s-ar pune problema
Să faci zilnic naveta între rai și iad,
Ca să ții niște cursuri?
- O sticlă de vin și-o femeie,
Dacă nu cer prea mult.
- Ai mai cerut asta o dată, de ce te încăpățânezi,
E prea mult, ți-am spus, îți tăiem femeia.
- Ce tot ai cu ea, ce atâta prigoană?
Mai bine tăiați-mi vinul,
Mă moleșește și n-aș mai putea să-mi pregătesc cursul,
Inspirându-mă din ochii iubitei.
Tăcere, minute lungi,
Poate chiar veșnicii,
Lăsându-mi-se timp pentru uitare.
- Ce-ai dori să iei cu tine,
Dacă s-ar pune problema
Să faci zilnic naveta între rai și iad,
Ca să ții niște cursuri?
- O femeie, Doamne, dacă nu cer prea mult.
- Ceri prea mult, îți tăiem femeia.
- Atunci taie-mi mai bine cursurile,
Taie-mi iadul și raiul,
Ori totul, ori nimic.
Aș face drumul dintre rai și iad degeaba.
Cum să-i sperii și să-i înfricoșez pe păcătoșii din iad,
Dacă n-am femeia, material didactic, să le-o arăt?
Cum să-i înalț pe drepții din rai,
Daca n-am cartea să le-o tălmăcesc?
Cum să suport eu drumul și diferențele
De temperatură, luminozitate și presiune
Dintre rai și iad,
Dacă n-am vinul să-mi dea curaj?"
Marin Sorescu,Darul,"Îți voi dovedi că toate tablourile sunt false
Spuse specialistul, scoțându-și lupa
Pe care tocmai o primise cadou
Din planeta
Marte.
Colecționarul zâmbi, îl amuză ideea,
Pânzele lui deveniseră etalon
Pentru identificarea maeștrilor din toată lumea,
Cheltuise pe ele averea câtorva generații
înainte și înapoi.
-
Să începem de la dreapta spre stânga,
Privește acest
Tizian!
Într-adevăr, în lupă se vede stângăcia execuției,
Tabloul fusese pictat de un elev fără talent, într-o oră de desen.
- În fundul sufletului mă rodea un fel de îndoială
în privința lui, șopti galben colecționarul.
Dar acel
Rafael, pe care-l studiezi acum,
Dacă e o copie,
însăși mâna lui
Dumnezeu a făcut-o, ha, ha, ha !
-
Privește, și cercetătorul care n-avea chef de glumă, îi arătă numărul de serie înregistrat în pupilele madonei.
Pe la mijlocul sălii nici n-apucă să îndrepte
Lupa spre ele
Și tablourile cădeau singure.

În fața ultimei pânze,
Rembrandt milionarul! -
Colecționarul
Își duse mâna la inimă și căzând
Din gura lui zburară lilieci.
Specialistul colindă apoi prin multe muzee
Pe care le umplu de ridicol.
Nici măcar ramele nu erau veritabile,
Lupa neînduplecată scotea la iveală
Lucrări groaznice.
Toți marii maeștri fuseseră uciși,
După primele trăsături de penel,
Și ucigașii le furaseră numele,
Pictaseră în continuare cu uleiurile lor,
Moarte și ele,
Odată cu sângele cel adevărat.
Așa se goliră galeriile,
Achizitorii nepricepuți înfundară pușcăriile.
În urma omului cu lupa se întindea un pustiu de moarte
Și el era tot mai trist.
Odată, îi veni în gând
Să îndrepte lupa spre strada pe care mergea
Și observă cu mâhnire că era falsă.
Strada adevărată se afla mult mai încolo.
Privi orașul - era fals, copacii falși,
Și începu să plângă.
Plângând cu hohote și tremurând tot,
în afara mâinii care ținea teribilul instrument

El o porni foarte bătrân înainte,
Continuând să desființeze lumea."
Marin Sorescu,Dascălul,"Venea la școală de dimineață
Cu demâncarea la el.
Hainele le ținea îngropate la loc, unde muncea.
Că era lup de muncă. Și ajungea la școală,
Făcea ce făcea cu copiii și când le da drumul,
Încăleca pe cal și-o lua peste câmp, la locurile lui acolo.
Se schimba acolo la loc și muncea până-n întuneric.
Se dezbrăca și le-ngropa iar, și pleca acasă,
Acolo la Pârva-n Secuiești, avea casă cu etaj.
Și dimineața, se-mbrăca, lua mâncarea și pleca la
Școală călare. Și de-acolo, la loc. Om harnic.
Lup de muncă, spunea Moșu, care-i fusese elev.
Învăța copiii foarte bine. ÎI chema Bulzescu Matei.
A murit, tânăr, săracu! Avea un băiat Ion, se făcuse
Cântăreț la biserică și-a murit de tifos,
Până în războiul dintâi.
Au mai rămas două fete, Ioana și cu Nicolița
(Căsătorită cu Mitrică al lui Nete).

Copiii erau de toate felurile. Unii mai mari, alții mai mici
Și cum învățau? Aduceau un car cu nisip, îl nivelau
stau toți grămadă pe lângă el. Și așa-nvățau literele.
Ștergeau și iar îl întindeau.
-    Ia zii, mă, A - făcea învățătorul.
-    Zii și tu, răspunde elevul.
-    Păi, io zisei.
-    Păi, mai zii o dată.
Bată-te Dumnezeu să te bată! și pleca de lângă el.
Pe unii îi „gâdila"" la palmă cu o linie;
- Monitor, dă-i atâtea cu dunga și atâtea cu latul.
Și alea cu dunga dureau mai rău.
Și unul zice - cine-o fi fost ăla?
- „Lasă-mă, domnule
învățător, nu mai da cu dunga, că-ți dau un leu,
Mi-l dete tata să iau condeie.""

Mai era un învățător, care-l suplinea pe Matei,
Unul din Prejoi. își amintea Ilie Chelcea de el:
„Venea învățătorul cu mămăliga la șold"".
, legată într-o batistă, avea și el acolo
Vreo ceapă!
Școala era pe locul lui Gheorghe Banta și la ea zidiseră
Ilie și Ion Țuruc, doi frați, meșteri zidari, veniți din Negoiești.
Ion Țuruc e străbunicul meu.

Iar Ilie a fost tatăl a trei fete:
Lița, Lia (muma alei lu Trică-a lui Gogu) și Anica
(Muma lui Ilie-al Anicăi).
Ăștia din Negoiești erau săraci, pe moșie boierească, grecească,
Săteau acolo în Gura Vocnii, o vâlcea, când cobori în Amaradia.
Acolo era și-o bisericuță, mititică, așa cam cât o cameră,
Și-o fântână cu trei izvoare, o cișmea.

Dar Matei învățătorul, parcă-l văd
Descălecând, lăsând calul să pască împiedicat
Și el dezgropându-și de la capul locului
Hainele rele și sapa,
Schimbându-se cu hainele rele și-ncepând munca,
După ce-i învățase pe ăia azbuchea, pe nisip.

Așa se-nvăța mai-nainte
Și intelectualului nu-i era rușine
Să vină cu mămăliga la șold.
Nu se rupsese bine de pământ,
Tot în el își punea speranța
Și-o îngropa, cum își îngropa hainele,
Ca în lada de zestre,
La păstrat."
Marin Sorescu,De of și se aoleu,"Floare naltă, floare neagră,
Nu ți-am spus, fă, că-mi ești dragă?
C-o să fur din cer cinci stele
Să-ți fac salbă de mărgele?
Și mă lăudam că eu
Îl caftesc pe Dumnezeu,
De s-o pune-n drumul meu...

Nu-mi spuneai tu - știu, ca azi -
Când săream peste-un pârleaz,
Că de drag ce îți sunt eu
O să mori de gâtul meu?
Și-a venit un barbugiu,
Of, un fante de gagiu,
Din Obor, sau mai de sus,
Te-a chemat și tu...te-ai dus!

Și-ncă n-ar fi fost nimic,
Dacă nu mi-ai fi manglit
Punga mea cu bani fișic!

Stăteam noaptea amândoi,
Bibilică, bibiloi,
Ningea lună peste noi.
Eu credeam că mă iubeai,
Dară tu mă sărutai,
C-o mână mă mângâiai,
Cu alta cotrobăiai.
Boarfo! Nu ți-am zis șucar
Să bagi mâna-n buzunar?
Cum putut-ai să te-nduri
Să mă-nșeli și să mă furi?
C-am spoit un an tingiri
Pe la fețele subțiri,
Și-am trăit prin mahala
Doar cu praz și ciulama,
Ca să-ți cumpăr ție, ție
Rochie de cununie,
Să-ți fac degetu-nflorat
C-o piatră de matostat.
Și tu, uite cum te țîi
De cuvântul ăl dintâi!
Bine, dragă, îți mersi!

Să mă-nșele o lămâie!
Da' și eu fusei tămâie!
Că puteam și eu încai
Să fiu craiul ăl mai crai
Și să huzuresc ca-n rai.

...Da' acum am rămas bleg,
Amărât și plin de jeg,
Ca nărojii ăi mai mari:
Nici gagică, nici piștari!"
Marin Sorescu,De uit vreo țară,"De uit vreo țară, să-mi aduci aminte,
Îi spune Dumnezeu lui Sfântul Petru.
La el o țară e de-un kilometru
Și kilometrul - cât un bob de linte

Și este foarte lesne să îl sară,
Când vine în inspecții, pe pământ.
O, Doamne, totuși ai uitat o țară,
Nu de când ești, ci numai de când sunt.

Și Sfântul Petru, ce-a rămas în urmă,
Și tot presează în ceaslov impresii,
De levănțică, rochia miresii,
Nu știe ce amar cumplit ne scurmă."
Marin Sorescu,De-a icar,"Am umblat cu cerșitul pe la păsări
Și mi-a dat fiecare
Câte o pană.

Una înaltă de la vultur,
Una roșie de la pasărea paradis,
Una verde de la colibri,
Una vorbăreață de la papagal,
Una fricoasă de la struț -
O, ce aripi mi-am făcut!

Mi le-am pus la suflet
Și-am început să zbor.
Zbor înalt de vultur,
Zbor roșu de pasăre paradis,
Zbor verde de colibri,
Zbor vorbăreț de papagal,
Zbor fricos de struț -
O, ce-am mai zburat!"
Marin Sorescu,Descantec de fie ce-o fi,"Ziua-mi intră în orbite
Ca prin stele găurite
Prin care se vede-o zi
Și în ea un fel de-a fi.

Când al meu și când al umbrei
Când al umbrei, când al sumbrei
De figuri ce însumi is
Un arcuș dat cu sacaz.

Am în mâna două site
Și în ochi două cuțite
Mă descânta cu un ciob
Miezul nopții, fir cu bob,

Cu năut, cu linte ,mei,
Moștenirea alor mei,
Junghiara și doi miei
Și belira cins'pe piei.

Asta e că nu-i deochi,
Cin' mi-a dat cu lumea-n ochi?
Văd mori, leșuri, stele verzi,
Vezi că nu te vezi, vezi, vezi?

Leacul de la răsărit,
Aia e că n-ai murit.
Leacul de la miazăzi,
Aia e: fie ce-o fi."
Marin Sorescu,Despre prietenie,"Dacă într-o zi îți vine să plângi, caută-mă...
Nu promit să te fac să râzi, dar pot să plâng cu tine.
Dacă într-o zi îți vine să fugi, caută-mă...
Nu promit că o să te opresc, dar pot să fug cu tine.
Dacă într-o zi nu ai chef să asculți pe nimeni, caută-mă...
Promit să tac oricât vrei.
Dacă într-o zi mă cauți și nu răspund...
Vino repede să mă vezi...
Poate eu am nevoie de tine..."
Marin Sorescu,Developare,"Azi am fotografiat numai copaci,
Zece, o sută, o mie.
Îi voi developa la noapte,
Când sufletul va fi o cameră obscură. Apoi îi voi class:
După frunze, după cercuri, După umbra lor.
O, ce ușor
Copacii intră unul într-altul!
Iată, nu mi-a rămas decât unul.
Pe-acesta îl voi fotografia din nou
Și voi observa cu spaimă
Că seamănă cu mine.
Ieri am fotografat numai pietre.
Și piatra de la sfârșit
Semăna cu mine.
Alaltăieri - scaune -
Și cel care-a rămas
Semăna cu mine.
Toate lucrurile seamănă îngrozitor
Cu mine...
Mi-e frică."
Marin Sorescu,Dincolo,"Femeia asta
Are pe cineva în baie.

Vorbește cu mine,
Mă iubește sincer,
Dar cineva se tot foiește în sufletul ei,
Dincolo de mine.
Îi citesc în ochi,
În păr,
În linia vieții din palmă
Că această casă n-are decât o singură intrare,
Că-mi ascunde pe cineva în baie.

Sau, mă rog, în casa vecină,
Sau într-o altă casă,
Undeva pe stradă,
Într-alt oraș, sau într-o pădure,
Ori pe fundul mării.

Cineva stă ascuns acolo,
Pândindu-mi gândurile,
Ascultând sentimentele mele eterne
Cu ochii pe ceas."
Marin Sorescu,Dirijabilul de mine,"Se făcea că trăgeam de sfori,
Trăgeam o dată de toate sforile.
Îmi făcusem o parașuta de nori,
cu care se lăsau pe copaci ciorile.

Te luasem, iubito, drept lest,
Dar eu mă aruncăm peste bord,
Când începeam dulce să te detest,
Când îngheța între noi un fiord."
Marin Sorescu,Doamne,"Doamne,
Ia-mă de mână
Și hai să fugim în lume,
Să ieșim puțin, la aer.
Poate schimbând curenții,
O să mă simt și eu în larg,
Lângă Tine."
Marin Sorescu,Don juan,"Când o dragoste
La care lucram mai demult
Mi-a reușit,
Atunci o trec pe curat,
Pe inima altei femei.

Natura a fost înțeleaptă
Creând mai multe femei
Decât bărbați,
Pentru că ne putem desăvârși
Sentimentul,
Folosind un mare număr
De ciorne."
Marin Sorescu,Drum forestier,"Un brad, un fag,
Un mesteacăn, un paltin
Muntele o ia la vale
Pe pârghii jupuite.

Cât urc acest drum forestier,
Acest colnic desfundat,
Aceste camioane
Care transportă pădurea
Legată cu lanțuri.

Se duc în altă țară
Bârnele care-au ținut bolta cerului
Pragul, talpa casei, tocul ușii,
Bâta ciobanului,
Păstorind limba română.

În urmă crește
Un munte de rumeguș,
Șters de prima ploaie,
Luat de primul vânt.

Un brad, un fag
Gaterul lucrează, electric
Mii de cercuri de copaci își taie venele
Doinele au hemoragie
Trecutul leșină.

Cu fiecare copac trăznit
Ne cade pe umeri
O zdreanță albastră de cer."
